date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:15:52	51/51	---M--	200	added ('OK')	text/plain	date:Mon,%2003%20Jun%202019%2004:26:39%20GMT	https://vietsonvn.com/robots.txt		(from )
01:15:52	160494/160494	---M-Z	200	added ('OK')	text/html	etag:%229866-1676022335;gz%22	https://vietsonvn.com/	/home/dieu/websites/commerce_web/vietsonvn.com/index.html	(from )
01:15:53	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2014%20Feb%202023%2018:15:53%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/dieu/websites/commerce_web/www.googletagmanager.com/gtm.05445.delayed	(from https://vietsonvn.com/)
01:15:54	5842/5842	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202023%2018:15:54%20GMT	http://gmpg.org/xfn/11	/home/dieu/websites/commerce_web/gmpg.org/xfn/11.html	(from https://vietsonvn.com/)
01:15:56	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2014%20Feb%202023%2018:15:56%20GMT	https://vietsonvn.com/xmlrpc.php	/home/dieu/websites/commerce_web/vietsonvn.com/xmlrpc.php	(from https://vietsonvn.com/)
01:15:56	57915/57915	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Feb%202023%2017:51:59%20GMT	https://vietsonvn.com/wp-content/litespeed/css/f99a0ef181b8cabddb518fd045ec9bdf.css?ver=cd853	/home/dieu/websites/commerce_web/vietsonvn.com/wp-content/litespeed/css/f99a0ef181b8cabddb518fd045ec9bdfd453.css	(from https://vietsonvn.com/)
01:15:57	6360/6360	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Feb%202023%2017:51:59%20GMT	https://vietsonvn.com/wp-content/litespeed/css/b1fb5aa0ad60a5c5c711f5729ca74dfa.css?ver=65342	/home/dieu/websites/commerce_web/vietsonvn.com/wp-content/litespeed/css/b1fb5aa0ad60a5c5c711f5729ca74dfa6851.css	(from https://vietsonvn.com/)
01:15:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Feb%202023%2018:15:58%20GMT	http://s.w.org/	/home/dieu/websites/commerce_web/s.w.org/index.html	(from https://vietsonvn.com/)
01:15:58	2216/2216	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Feb%202023%2017:51:59%20GMT	https://vietsonvn.com/wp-content/litespeed/css/76d99a9c7d967e3c30e7e01085813a5a.css?ver=f5541	/home/dieu/websites/commerce_web/vietsonvn.com/wp-content/litespeed/css/76d99a9c7d967e3c30e7e01085813a5ae7d6.css	(from https://vietsonvn.com/)
01:15:59	59336/59336	---MCZ	200	added ('OK')	application/rss+xml	etag:%22cebca225513f84428d3b6ba103429967%22	https://vietsonvn.com/feed/	/home/dieu/websites/commerce_web/vietsonvn.com/feed/index.html	(from https://vietsonvn.com/)
